score,text
1,"메시지는 차치하고 감각적으로(시각, 청각) 황홀했다. 영화는 가능하고, 소설은 불가능한 것. 영화는 도달할 수 있고, 소설은 도달할 수 없는 것. 영화는 체험시킬 수 있고, 소설은 체험시킬 수 없는 것. 더 확장하면..."
1,"개봉일을 기다려, 모처럼 팔순의 친정어머니와 롯데 시네마에서 보았어요. 잔잔한 시냇물이 흐르는 계곡에 미나리 밭을 일구는 우리들의 어머니 또는 할머니의 강인한 생존력이란! 대지의 후손들이라면 누구나 배꼽 아래 단전으..."
1,하....  이것이 제 심사평입니다. 이런 게 바로 영화 아니겠습니다. 오늘 하루 하.. 할듯..
1,평양냉면 같은 영화. 막상 기대했다가 보면 이게뭐야? 할지도 모르지만 극장을 나선 뒤에도 잔잔하게 울림을 주는 영화
1,"이 영화자체가 미나리같다. 그리고 이 영화에 나오는 인물들도 미나리같다. 특별하고 화려하진 않지만 강인하고  자꾸 머릿속에 이 가족의 현재와 미래가 궁금해지고 응원하게 된다.그들의 모습속에서 가장으로써의 모습, 어머..."
1,"부모님의 높아지는 언성에 숨어서 마음 졸였던 아이, 축축한 이불에 몰래 흔적을 지웠던 아침, 그저 풀 위를 달리고 싶었던 순수했던 마음, 그리고 그 때는 보이지 않았던 아버지의 삶의 무게까지. 잔잔하지만 재치있고, ..."
0,실망이 컸던 영화. 명성에 못 미침
0,재미없음니다  정말로요
0,모르겠네요..영화가 끝나고나서 고개만 기웃..이게뭐지?그닥 큰내용도 없고  영상미도 없고  ..여튼 전별로였네요
1,너무나도 평범해서 아름답다
0,솔직히 크게 연기력을 극찬할만한 영화는 아닌듯 그정도로 연기할만한 배우도 여러명 생각날 정도로 크게 감동할만한 연기력은 아니었음 스토리도 잔잔한건 각오하고 봤지만 딱히 감동으로 다가온것도 없었고..막내 데이빗은 참 ...
0,이게.. 감동이라는..?도데체 왜?
0,기대에  다소  미치지 못함이 있었던듯 하다어   ~   이케 끝났어  하는 느낌 뭐지
0,작품의 만족도가 많이 부족하다
0,너무 기대하고 어머니랑 영화를 보러 가서인지사실실망이 좀 컸습니다.. 외국에서 상을 받을 정도인가 라는 생각을 하게되더라구요. 내용구성이나 배우들 연기면에서 너무 아쉬웠습니다. 작품 연출이 너무 아쉽네요.. 휼륭하신...
0,장난하나. 나만 당할 수 없지 다들 보새오!
1,데이비사  (영화 넘 여운있고 먹먹하네요. 영화보며 이런 감정은 처음입니다)
1,흐르는 강물 영화가 생각나는 잔잔함과 가족애로 감동을 주는 영화였습니다.  ‘할머니가 자리를 잘 잡으셨네’ 엔딩의 대사는 여운이 남습니다.  미나리가 연약해 보이지만 바람결에 흔들리면서 보이는 장면은 한국 정서가 함...
0,기대가 높았나보다. 연출 스토리 모두 기대이하다.
0,과대평가된 영화.연기도 스토리도 그닥
1,To all grandmas 엔딩 크레딧이 올라올때 흑 들어오는 감동이 있습니다. 정이삭 감독 자전적인 이야기라 리얼리티가 살아있는데다 윤여정 배우의 넋이 나간 연기가 너무 좋았습니다
1,"질긴 생명력과 적응력으로 어디서든 잘 자라는 미나리처럼,우리도 그렇게.  원더풀 원더풀 미나리."
1,"신파로 빠질 수도 있는 내용을 담백하게 그려낸 연출, 배우들의 빼어난 연기. 1년 만에 극장 나들이 한 보람이 있었다."
1,"표면적 주제인 이민을 떠나서, 인생을 살아본 사람이라면 격하게 감정이 몰입되어 펑펑 울게될 것이다. 남자의 내면과 여자의 내면과 할머니의 내면과 손자손녀의 내면이 각자 정당성을 가지고 어떻게 갈등국면을 돌파하는지를 ..."
0,ㅎ....뭐지 도대체 내가 뭘 본걸까요
0,노감동노재미 입니다  ㅠㅠ
1,가장 개인적인 이야기를 꽤 보편적인 형식에 담은 영화인 것 같다.
0,모든 가족의 스토리를 다 이야기하려니산만하고 감정선 처리가 너무 약함마지막 결말은 싱거워서 뭐냐 이런 드립이 저절로 나옴
1,잔잔하게 덤덤한 표정과 감정섞인 눈빛으로 이야기를 들어주는 사람 같다별거 안했는데 앞에 있는 날 울려버린다그렇다고 집가는 버스에서 운건 아니지만음 안 운 것도 아니다아빠 그리고 엄마 우리 가족 그리고 나 모두가 떠올...
0,기대를 너무 했나 봅니다. 솔직히 실망하고 나왔어요.
0,생각보단  전체적으로 허술한점이 많네요연기도 와닫지 않고요 서양사람한테는 감동이있었나보네요  그정도의 연기는 우리나라 조연급들이 누구나 할수있을것같네요
1,잔잔하고 감동스러웠습니다. 방학때면 외갓집에 갔었던 행복한 기억과 지금은 많이 편찮으신 외할머니가 동시에 떠올라 그립고도 눈물이 났습니다.
0,그냥 그래요 열자이상 뭘 쓸지도 모르겠음
1,"인생이란 그런 거지 잘 될 줄 알았던 일이 꼬이고,안 될 줄 알았던 일이 풀리고.그 과정을 함께해 준 이들이 있어내 인생을 폐기하지 않을 수 있었던 거겠지"
0,"하,,삼겹살에 미나리 구워먹는게 더 재밌겠네"
1,담백한 연출이 좋았어요
0,글쎄.... 영화가 무슨 말을 하고자 하는지는 알겠으나.. 스토리에 비해 러닝 타임이 너무 길고 늘어지는데에 비해 마무리는 급하게 끝내는 느낌.. 이게 왜 높은 평가를 받는지 이해하기 힘들다
0,난세상에 태어나 진짜 재미없는 영화를 보았다. 패주고싶다 미나리 극찬한 광고성 메스컴들에게..
0,나만 별로였나...??
0,너무 지루함 .... 잠올정ㄷㅗ로
0,"기대했으나 영상미,bgm,연기,스토리,감동,재미 어느것 하나 눈에 띄는 부분이 없었다. 대체 왜 평점이 높은거지- 이야기의 맥락을 모르겠고 ㅠㅠ 이영화 뭘 말하고 싶은거지?"
0,..내용이 그냥 당황스러워요
0,생각보다 아쉽습니다ㅠㅠ
0,지루하다 지루해.. 그래서 결론이 뭐임
0,무슨 영화인지 감동도 재미도 ..ㅜㅜ
1,서사가 극적이지 않아서 어디서 어떻게 반응해야 하는지 감을 못잡는 분들도 계실 것 같습니다. 하지만 저는 있는 그대로 보여주었기 때문에 느낄 수 있던 잔잔한 감동과 여운이 있었습니다. 가족이기 때문에 쉽게 서로에게 ...
0,미국 이민자들에게 큰 감동을 줄만하지만 그외의 관객에게는 그저 잔잔한 서정적인 영상에 불과할 듯
0,그냥그냥... 그냥...
0,할말이없음 내용이없기때문에
0,뭐가 좋은지 알 수 없는 영화
1,가족의 힘이 이토록 대단한것이었다는걸 느끼게 해주는 영화 였다
1,극적반전은 없지만 짜임새 있는 스토리와 잔잔한 감동이 있네요 오랜만에 좋은영화 봤네요
0,"매씬이 아슬아슬. 어색함에 조마조마. 모국어와 자막, 히어링과 리딩 사이. 평가도 감동도 이토록 왜곡된다. 소신 별점을 방해하는 수상이력의 압박까지. 내가 본 윤여정의 가장 어색한 연기."
0,무슨 내용인지 모르겠어요 .. 의미 감동 다 없음
0,진짜 뭘얘기하고싶은거며 방구석 평론가들때문에 너무 고평가된 영화
0,연기력? 특출난거 없는 흔한 연기력...감동? 흔한 3류 영화나 드라마에도 나오는 밍밍한 감동포인트...무엇보다도 심각한건 갑작스런 결말...
1,"미국은 애초에 태생적으로 “이민자”의 나라다.. 아메리칸 드림을 이뤄내고자 하는 다양한 인종의 사람들이, 저마다의 사연을 가지고, 그들의 장점들을 최대한 되살려 직업에 종사했고, 결과적으로 세계 최강국의 원동력의 중..."
1,"아무데서나 잘 자라는 미나리, 우리는 그럼에도 구태여 삶의 뿌리를 내리려고 노력한다."
0,머때문에 이영화가 상받았는지 이해가안감!영화사곧 망하겟네.ㅋ
0,평점 실화임...?영화가 뭘 말하고자 하는건지 모르겠네요.
0,전형적인.일벌려놓는 옛날 우리네 아빠들 이야기같아서 속이답답했네요 참다보면 좋은날이온다는게 팩트일까요
0,노잼 . 직설적으로말하자면 오스카국뽕끼가 많다 .
0,하나 같이 연기자들 연기가 붕뜬 어색한...   저마다의 따로 국밥식 연기에 1점
0,걍심심풀이용 재미없음
0,생각보다 많이 별로였어요.  결말도 그렇고 마치 10부작 드라마중 1부만 본것같은 느낌.
0,영화에 재미를 빼면 그게 무슨 영화임? 고문이지ㅋㅋ
0,다 알바인 거 같다...
1,스티븐연 한국어 진짜 연습 했나보다ㅋㅋㅋㅋ 한국어 발음이 안어색해
1,궁금해서 개봉하자 마자 봤습니다.  자연은아름답고 넓지만 미국이민 시골생활 많이 힘들었겠어요
1,다 잃고도 다시 시작하는 모든사람들에게 응원의 박수를 보내고싶은 뭉클한 이야기
0,서양인들은 이걸 보면서 어떤 감동을 느낀 걸까요 미나리 즐겨먹는 김치맨은 이 영화의 가치를 전혀 모르겠네요
0,데치기만 한 아무 양념도 없는 미나리 나물. 어떤 감동도 느껴지지 않았다.
0,미나리 수상 이유.코x나로 개봉 영화가 없어서.
0,갸웃뚱? 잘 모르겠어요.마지막 앤딩장면...기대에 부응하지 못한 영화...
0,"가장 큰 문제는 스티븐 연이 연기를 잘 못한다.,,이다."
0,2021.03.07 (일) 2시간이 사라졌다
0,기대에 많이 못미치는...감동이 없어 아쉬운 영화입니다
0,무얼 연출하고싶은지 몰르겟어요결말도 어이없고..
0,이게 왜 상을 받은건지 모르겠다. 2배속으로 보고 싶어질 정도로 한장면 한장면이 늘어지는게... 지루하다는 느낌
0,...이게뭘까....되게 어색한 다큐를 보는데 별 내용도 없더라..
0,가슴에 손을 얹고 말해보자...이게 재미있냐?ㅋㅋㅋ 외국에서 상 하나 던져주니 아주 대단한 작품인 것처럼 생각하고 빨아대는 모습이 왤케 웃기냐
0,다들 좋은 평을 내고 있는 마당에...감독과 제작진 거의 모두 한국인이 아닌데 너무 많은 매스컴에서 마치 자랑스런 한국인이 만든 한국영화인냥 은근슬쩍 작품국적을 둔갑시키고 있다는 생각을 했다. 전형적인 동양여성의 외...
0,"기대를 너무 많이하고 봐서 그런지 아쉬웠어요. 초반 설정 빼고는 뒤로 갈수록 너무 지루하고 감독의 메세지도 전 잘 모르겠어요 ㅠㅠ 한예리씨 팬인데도 불구하고, 연기도 아쉬웠고 윤여정님은 가지고 있는 매력을 1도 못보..."
1,모두들 연기가 넘 좋았습니다.
0,개노잼 수면제 영화윤여정 연기는 잘하는데 무슨 상을 휩쓸만한 그정도는 아닌듯
0,솔직히 재미도없고 감동도없고...왜 상탓는지 의문이들정도...
1,한국영화 특유의 억지스러운 신파없이 아주 절제된 감정으로 너무나 잘 풀어낸 영화. 여운이 정말 진하게 남는다. 마지막 할머니의 '실수'가 가족에게 '구원'이 되었다는 것이 정말 아이러니하...
0,평점보고 속아서 봤는데 정말 실망했네요 감동포인트도 없고 결말도 이상하고 중간중간 똥개그 없었으면 무표정으로 끝까지 봤을듯하네요
0,전 너무너무 공감이 안됐어요
0,지루하고별로네용....노재무
